epoch,step,train/loss_epoch,train/loss_step,val/error_h,val/error_u,val/error_v,val/loss,val/loss_best
0,0,,,0.7595211267471313,0.870216965675354,1.4238237142562866,1.451696515083313,1.451696515083313
0,0,0.6946628093719482,,,,,,
1,1,,,0.8805844187736511,0.9441730380058289,1.1160656213760376,1.4406030178070068,1.4406030178070068
1,1,0.5049928426742554,,,,,,
2,2,,,0.8546086549758911,0.8951464891433716,0.9792544841766357,1.2729301452636719,1.2729301452636719
2,2,0.42244115471839905,,,,,,
3,3,,,0.764607846736908,0.8586204648017883,1.0250604152679443,1.1523010730743408,1.1523010730743408
3,3,0.39493077993392944,,,,,,
4,4,,,0.7726579308509827,0.9218542575836182,1.0618120431900024,1.2413957118988037,1.1523010730743408
4,4,0.35790273547172546,,,,,,
5,5,,,0.7639713287353516,0.9206385612487793,1.027208685874939,1.2077207565307617,1.1523010730743408
5,5,0.38352489471435547,,,,,,
6,6,,,0.7561740875244141,0.8877328038215637,1.0152298212051392,1.1612467765808105,1.1523010730743408
6,6,0.30724021792411804,,,,,,
7,7,,,0.760994017124176,0.8710148930549622,1.0216261148452759,1.1564216613769531,1.1523010730743408
7,7,0.3173324763774872,,,,,,
8,8,,,0.764006495475769,0.8664158582687378,1.0168800354003906,1.1531946659088135,1.1523010730743408
8,8,0.36575451493263245,,,,,,
9,9,,,0.7615625858306885,0.8685269355773926,1.0015326738357544,1.142655372619629,1.142655372619629
9,9,0.36045169830322266,,,,,,
10,10,,,0.7575403451919556,0.8766787052154541,0.9881042838096619,1.136752724647522,1.136752724647522
10,10,0.317044734954834,,,,,,
11,11,,,0.7559389472007751,0.8851672410964966,0.9807423949241638,1.137861728668213,1.136752724647522
11,11,0.2833414375782013,,,,,,
12,12,,,0.7560163736343384,0.8821506500244141,0.9741962552070618,1.1314305067062378,1.1314305067062378
12,12,0.2822226881980896,,,,,,
13,13,,,0.7597969174385071,0.868981122970581,0.9672713875770569,1.1204783916473389,1.1204783916473389
13,13,0.2900620400905609,,,,,,
14,14,,,0.7707781195640564,0.8582491278648376,0.968701183795929,1.1255449056625366,1.1204783916473389
14,14,0.2866849899291992,,,,,,
15,15,,,0.7829239964485168,0.8540962338447571,0.9870994687080383,1.147998332977295,1.1204783916473389
15,15,0.2820550799369812,,,,,,
16,16,,,0.7872617840766907,0.8533031344413757,1.0189772844314575,1.172133207321167,1.1204783916473389
16,16,0.2818753719329834,,,,,,
17,17,,,0.7843219041824341,0.8534484505653381,1.0483546257019043,1.1869466304779053,1.1204783916473389
17,17,0.2840390205383301,,,,,,
18,18,,,0.7807941436767578,0.8539121150970459,1.0583388805389404,1.1892911195755005,1.1204783916473389
18,18,0.28546056151390076,,,,,,
19,19,,,0.7803770899772644,0.854134202003479,1.0439587831497192,1.1798068284988403,1.1204783916473389
19,19,0.28300556540489197,,,,,,
20,20,,,0.7820401787757874,0.8538675904273987,1.0153818130493164,1.163843035697937,1.1204783916473389
20,20,0.2761790156364441,,,,,,
21,21,,,0.7823789715766907,0.8535370230674744,0.988515317440033,1.1476877927780151,1.1204783916473389
21,21,0.26991182565689087,,,,,,
22,22,,,0.7794559001922607,0.8536376953125,0.972511887550354,1.1346205472946167,1.1204783916473389
22,22,0.2694043517112732,,,,,,
23,23,,,0.7746474742889404,0.8545265197753906,0.9664652347564697,1.1258482933044434,1.1204783916473389
23,23,0.2736259400844574,,,,,,
24,24,,,0.7703434824943542,0.8562315106391907,0.9658961296081543,1.1216464042663574,1.1204783916473389
24,24,0.2770271897315979,,,,,,
25,25,,,0.7678602933883667,0.8579002618789673,0.9687464833259583,1.1216825246810913,1.1204783916473389
25,25,0.2756921947002411,,,,,,
26,26,,,0.7674750089645386,0.8582384586334229,0.9749041795730591,1.1251213550567627,1.1204783916473389
26,26,0.2702952027320862,,,,,,
27,27,,,0.7688587307929993,0.8569453358650208,0.9830403327941895,1.1305418014526367,1.1204783916473389
27,27,0.26441022753715515,,,,,,
28,28,,,0.7710224390029907,0.8550490736961365,0.9900604486465454,1.1357861757278442,1.1204783916473389
28,28,0.26129043102264404,,,,,,
29,29,,,0.7722994685173035,0.8537535667419434,0.9932036995887756,1.1381491422653198,1.1204783916473389
29,29,0.2616760730743408,,,,,,
30,30,,,0.7710868716239929,0.8537294268608093,0.9917986392974854,1.1357872486114502,1.1204783916473389
30,30,0.2636461555957794,,,,,,
31,31,,,0.7671008706092834,0.8555122017860413,0.9872264862060547,1.129658579826355,1.1204783916473389
31,31,0.2645168602466583,,,,,,
32,32,,,0.7618885636329651,0.8594407439231873,0.9817185401916504,1.1233500242233276,1.1204783916473389
32,32,0.2633037567138672,,,,,,
33,33,,,0.7576790452003479,0.8643056154251099,0.9771462082862854,1.1196911334991455,1.1196911334991455
33,33,0.26148462295532227,,,,,,
34,34,,,0.7556362748146057,0.8670037388801575,0.9744348526000977,1.117938756942749,1.117938756942749
34,34,0.2609373927116394,,,,,,
35,35,,,0.7556566596031189,0.8655489683151245,0.9736076593399048,1.116222620010376,1.116222620010376
35,35,0.26120489835739136,,,,,,
36,36,,,0.7572085857391357,0.8616058230400085,0.9742650389671326,1.1151021718978882,1.1151021718978882
36,36,0.26060688495635986,,,,,,
37,37,,,0.7592817544937134,0.8581687211990356,0.9761260151863098,1.1157770156860352,1.1151021718978882
37,37,0.2593534588813782,,,,,,
38,38,,,0.7605451345443726,0.85661780834198,0.9789362549781799,1.1176540851593018,1.1151021718978882
38,38,0.2585778832435608,,,,,,
39,39,,,0.7604555487632751,0.8567057847976685,0.9817973375320435,1.1193182468414307,1.1151021718978882
39,39,0.2584993839263916,,,,,,
40,40,,,0.7596685886383057,0.8573879599571228,0.9831393957138062,1.1197409629821777,1.1151021718978882
40,40,0.2587178349494934,,,,,,
41,41,,,0.7591875195503235,0.8574060797691345,0.9819364547729492,1.1184563636779785,1.1151021718978882
41,41,0.25855889916419983,,,,,,
42,42,,,0.7594670057296753,0.8562228083610535,0.9788420796394348,1.1159508228302002,1.1151021718978882
42,42,0.2574731707572937,,,,,,
43,43,,,0.7602222561836243,0.8544682264328003,0.9756186008453369,1.1134692430496216,1.1134692430496216
43,43,0.2559523582458496,,,,,,
44,44,,,0.7607735991477966,0.8531534671783447,0.9736396670341492,1.1118559837341309,1.1118559837341309
44,44,0.2551790773868561,,,,,,
45,45,,,0.7606263160705566,0.8528003096580505,0.973486065864563,1.1112867593765259,1.1112867593765259
45,45,0.25533950328826904,,,,,,
46,46,,,0.7598747611045837,0.8532453179359436,0.9754851460456848,1.1119296550750732,1.1112867593765259
46,46,0.2554471790790558,,,,,,
47,47,,,0.7591586112976074,0.8537135124206543,0.979515016078949,1.1138418912887573,1.1112867593765259
47,47,0.25491106510162354,,,,,,
48,48,,,0.7592089176177979,0.8532775044441223,0.984265148639679,1.1163569688796997,1.1112867593765259
48,48,0.2541288733482361,,,,,,
49,49,,0.25357162952423096,,,,,
49,49,,,0.7602527141571045,0.8517829775810242,0.987680971622467,1.118397831916809,1.1112867593765259
49,49,0.25357162952423096,,,,,,
50,50,,,0.7616537809371948,0.8500515818595886,0.9884886741638184,1.1191216707229614,1.1112867593765259
50,50,0.25327572226524353,,,,,,
51,51,,,0.7622063755989075,0.8489972949028015,0.986918032169342,1.1179653406143188,1.1112867593765259
51,51,0.25306475162506104,,,,,,
52,52,,,0.7611395120620728,0.8489934802055359,0.9840782284736633,1.114967703819275,1.1112867593765259
52,52,0.2526726722717285,,,,,,
53,53,,,0.758886456489563,0.849858820438385,0.9810522198677063,1.111158847808838,1.111158847808838
53,53,0.2520157992839813,,,,,,
54,54,,,0.7566877603530884,0.8508277535438538,0.9785193204879761,1.1078099012374878,1.1078099012374878
54,54,0.2513951361179352,,,,,,
55,55,,,0.7555466890335083,0.8509019613265991,0.9768412709236145,1.105499029159546,1.105499029159546
55,55,0.25101906061172485,,,,,,
56,56,,,0.7556286454200745,0.8498332500457764,0.9762216210365295,1.1043281555175781,1.1043281555175781
56,56,0.2506340444087982,,,,,,
57,57,,,0.7562913298606873,0.8483799695968628,0.9767381548881531,1.1042078733444214,1.1042078733444214
57,57,0.2500559091567993,,,,,,
58,58,,,0.7565158605575562,0.8474167585372925,0.9782800078392029,1.104580044746399,1.1042078733444214
58,58,0.2494717836380005,,,,,,
59,59,,,0.7556537985801697,0.8472855091094971,0.9804045557975769,1.1046863794326782,1.1042078733444214
59,59,0.2489835023880005,,,,,,
60,60,,,0.7539258599281311,0.8477934002876282,0.9822459816932678,1.1041220426559448,1.1041220426559448
60,60,0.24850428104400635,,,,,,
61,61,,,0.7521093487739563,0.8483583331108093,0.9828641414642334,1.1027778387069702,1.1027778387069702
61,61,0.24799244105815887,,,,,,
62,62,,,0.7507842183113098,0.8484054207801819,0.9819825291633606,1.1007000207901,1.1007000207901
62,62,0.2474290430545807,,,,,,
